Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Código INDEC_x,Código INDEC_y
2015,1,Misiones,85139,7.0,85146,54.0,54.0
2015,1,Neuquén,93373,2369.0,95742,58.0,58.0
2015,1,Río Negro,96145,1188.0,97333,62.0,62.0
2015,1,Salta,96793,18.0,96811,66.0,66.0
2015,1,San Juan,51117,702.0,51819,70.0,70.0
2015,1,San Luis,12878,354.0,13232,74.0,74.0
2015,1,Santa Cruz,26217,424.0,26641,78.0,78.0
2015,1,Santa Fe,535640,797.0,536437,82.0,82.0
2015,1,Santiago Del Estero,39244,8.0,39252,,
2015,1,Tierra Del Fuego,32726,730.0,33456,,
2015,1,Tucumán,138184,92.0,138276,94.0,94.0
2016,1,Buenos Aires,2929903,12612.0,2942515,6.0,6.0
2016,1,Ciudad Autónoma de Buenos Aires,1328079,9817.0,1337896,2.0,
2016,1,Catamarca,26376,13.0,26389,10.0,10.0
2016,1,Chaco,86635,16.0,86651,22.0,22.0
2016,1,Chubut,62060,1740.0,63800,26.0,26.0
2016,1,Córdoba,609692,234.0,609926,14.0,14.0
2016,1,Corrientes,85510,26.0,85536,18.0,18.0
2016,1,Entre Ríos,174634,179.0,174813,30.0,30.0
2016,1,Formosa,28313,1.0,28314,34.0,34.0
2016,1,Jujuy,40287,2.0,40289,38.0,38.0
2016,1,La Pampa,65442,487.0,65929,42.0,42.0
2016,1,La Rioja,16673,18.0,16691,46.0,46.0
2016,1,Mendoza,169257,1553.0,170810,50.0,50.0
2016,1,Misiones,92951,7.0,92958,54.0,54.0
2016,1,Neuquén,101969,2292.0,104261,58.0,58.0
2016,1,Río Negro,98745,1077.0,99822,62.0,62.0
2016,1,Salta,102423,3.0,102426,66.0,66.0
2016,1,San Juan,51373,621.0,51994,70.0,70.0
2016,1,San Luis,12915,317.0,13232,74.0,74.0
2016,1,Santa Cruz,25931,356.0,26287,78.0,78.0
2016,1,Santa Fe,551378,618.0,551996,82.0,82.0
2016,1,Santiago Del Estero,37695,3.0,37698,,
2016,1,Tierra Del Fuego,29867,619.0,30486,,
2016,1,Tucumán,146596,41.0,146637,94.0,94.0
2017,1,Buenos Aires,3178174,11202.0,3189376,6.0,6.0
2017,1,Ciudad Autónoma de Buenos Aires,1391030,8016.0,1399046,2.0,
2017,1,Catamarca,26304,13.0,26317,10.0,10.0
2017,1,Chaco,89036,14.0,89050,22.0,22.0
2017,1,Chubut,62166,1730.0,63896,26.0,26.0
2017,1,Córdoba,641066,133.0,641199,14.0,14.0
2017,1,Corrientes,88596,12.0,88608,18.0,18.0
2017,1,Entre Ríos,180296,57.0,180353,30.0,30.0
2017,1,Formosa,29705,0.0,29705,34.0,34.0
2017,1,Jujuy,43202,1.0,43203,38.0,38.0
2017,1,La Pampa,71458,455.0,71913,42.0,42.0
2017,1,La Rioja,16207,18.0,16225,46.0,46.0
2017,1,Mendoza,169282,1451.0,170733,50.0,50.0
2017,1,Misiones,97619,0.0,97619,54.0,54.0
2017,1,Neuquén,113227,2112.0,115339,58.0,58.0
2017,1,Río Negro,100288,1000.0,101288,62.0,62.0
2017,1,Salta,107632,1.0,107633,66.0,66.0
2017,1,San Juan,51253,620.0,51873,70.0,70.0
2017,1,San Luis,12992,315.0,13307,74.0,74.0
2017,1,Santa Cruz,26116,370.0,26486,78.0,78.0
2017,1,Santa Fe,562520,362.0,562882,82.0,82.0
2017,1,Santiago Del Estero,34473,2.0,34475,,
2017,1,Tierra Del Fuego,31938,619.0,32557,,
2017,1,Tucumán,152734,37.0,152771,94.0,94.0
2018,1,Buenos Aires,3464882,10564.0,3475446,6.0,6.0
2018,1,Ciudad Autónoma de Buenos Aires,1359882,6688.0,1366570,2.0,
2018,1,Catamarca,33934,11.0,33945,10.0,10.0
2018,1,Chaco,96925,12.0,96937,22.0,22.0
2018,1,Chubut,95532,2427.0,97959,26.0,26.0
